PROBEID	ENTREZ	SYMBOL
ILMN_1666536	23584	VSIG2
ILMN_1684982	5166	PDK4
ILMN_2162253	10874	NMU
ILMN_2134974	23682	RAB38
ILMN_1799028	10098	TSPAN5
ILMN_2136147	8537	BCAS1
ILMN_1789502	2239	GPC4
ILMN_1689431	164284	APCDD1L
ILMN_1713529	57556	SEMA6A
ILMN_1796949	22974	TPX2
ILMN_1770725	83543	AIF1L
ILMN_2359306	133690	CAPSL
ILMN_1737972	85453	TSPYL5
ILMN_1655468	1830	DSG3
ILMN_1753196	9232	PTTG1
ILMN_1707695	3434	IFIT1
ILMN_1684217	9212	AURKB
ILMN_1695107	53832	IL20RA
ILMN_1694823	260434	PYDC1
ILMN_1808059	55653	BCAS4
ILMN_1700268	23475	QPRT
ILMN_1656011	5996	RGS1
ILMN_2285375	6652	SORD
ILMN_1794863	55450	CAMK2N1
ILMN_2120695	7102	TSPAN7
ILMN_2206722	80307	FER1L4
ILMN_1677505	6366	CCL21
ILMN_1701195	7941	PLA2G7
ILMN_1740418	1594	CYP27B1
ILMN_1692591	138065	RNF183
ILMN_1671509	6348	CCL3
ILMN_2211479	84944	MAEL
ILMN_2357438	6790	AURKA
ILMN_1749868	221061	FAM171A1
ILMN_1803217	9721	GPRIN2
ILMN_1674620	8910	SGCE
ILMN_2234956	3953	LEPR
ILMN_1711894	4602	MYB
ILMN_1679299	3547	IGSF1
ILMN_1771385	115361	GBP4
ILMN_1684755	81621	KAZALD1
ILMN_2054297	5743	PTGS2
ILMN_2413898	55388	MCM10
ILMN_1794823	199777	ZNF626
ILMN_2049021	26255	PTTG3P
ILMN_1719695	64332	NFKBIZ
ILMN_1733519	3149	HMGB3
ILMN_1771482	57535	KIAA1324
ILMN_1692156	3747	KCNC2
ILMN_1717636	56963	RGMA
ILMN_1723480	684	BST2
ILMN_1737387	728441	GGT2
ILMN_1695658	10112	KIF20A
ILMN_1779648	92815	HIST3H2A
ILMN_1795582	8646	CHRD
ILMN_1711208	1952	CELSR2
ILMN_1792363	9622	KLK4
ILMN_1756849	3012	HIST1H2AE
ILMN_1665562	5346	PLIN1
ILMN_1723358	51435	SCARA3
ILMN_2260392	57180	ACTR3B
ILMN_2406501	6648	SOD2
ILMN_1782704	930	CD19
ILMN_1683263	7103	TSPAN8
ILMN_2117508	115908	CTHRC1
ILMN_1665686	63895	PIEZO2
ILMN_1813704	57214	KIAA1199
ILMN_1740234	119391	GSTO2
ILMN_1814106	375791	C9orf169
ILMN_2406035	3909	LAMA3
ILMN_1778319	93099	DMKN
ILMN_1697317	83657	DYNLRB2
ILMN_2403896	91227	GGTLC2
ILMN_1800942	200845	KCTD6
ILMN_1743445	11170	FAM107A
ILMN_1729180	2628	GATM
ILMN_1661589	977	CD151
ILMN_2065745	10268	RAMP3
ILMN_1813314	85236	HIST1H2BK
ILMN_1759157	387644	LINC00202
ILMN_1721283	126393	HSPB6
ILMN_1789648	10590	SCGN
ILMN_2371280	1441	CSF3R
ILMN_1781952	4257	MGST1
ILMN_1654319	145864	HAPLN3
ILMN_1691048	5003	SLC22A18AS
ILMN_2051972	2719	GPC3
ILMN_2374865	467	ATF3
ILMN_1775814	2690	GHR
ILMN_1760509	8320	EOMES
ILMN_1677636	1311	COMP
ILMN_1804929	5021	OXTR
ILMN_1694840	4147	MATN2
ILMN_1747911	983	CDK1
ILMN_1726986	51166	AADAT
ILMN_1707448	51755	CDK12
ILMN_1759676	3229	HOXC13
